Entity;Code;Year;death_tabac;death_alcool;death_drug
Solomon Islands;SLB;2017;168,7374538;0,971117131;0,442156744
Somalia;SOM;2017;80,40854087;2,339104206;0,508143945
South Africa;ZAF;2017;69,72214681;1,383182363;1,329977981
South Asia;;2017;93,90210984;1,989622929;1,052678637
South Korea;KOR;2017;57,67559427;1,225926299;0,218656443
South Sudan;SSD;2017;68,30875543;2,144866236;0,402904111
Southeast Asia;;2017;106,8417922;1,134191137;0,675424087
Southeast Asia, East Asia, and Oceania;;2017;117,3638339;1,120747289;1,155726193
Southern Latin America;;2017;81,21319148;2,14048883;1,206975177
Southern Sub-Saharan Africa;;2017;80,16507126;1,396954445;1,529247156
Spain;ESP;2017;65,14343429;0,607720905;1,225212345
Sri Lanka;LKA;2017;54,60952927;2,047084954;0,845678628
Sub-Saharan Africa;;2017;48,8768082;2,027316397;1,279363293
Sudan;SDN;2017;15,85311236;0,459323386;1,543660311
Suriname;SUR;2017;82,81229445;3,330895322;1,375029979
Swaziland;SWZ;2017;100,2284075;2,697185638;2,560604774
Sweden;SWE;2017;58,05134838;2,336215537;3,668460287
Switzerland;CHE;2017;53,12136525;1,766369412;2,050636589
Syria;SYR;2017;81,06232443;0,522104318;1,750910242
Taiwan;TWN;2017;71,61987392;1,467417811;1,51642231
Tajikistan;TJK;2017;85,27113038;2,343316952;0,455345127
Tanzania;TZA;2017;69,51563527;2,345059109;0,921273516
Thailand;THA;2017;58,4009586;2,515397235;0,930922852
Timor;TLS;2017;108,9246043;1,278026704;0,409556145
Togo;TGO;2017;44,11068662;2,058587127;2,03693945
Tonga;TON;2017;105,4222792;0,828430363;0,663223766
Trinidad and Tobago;TTO;2017;55,97311224;2,16805654;0,986172594
Tropical Latin America;;2017;75,08169942;4,509476376;0,960947482
Tunisia;TUN;2017;94,17382122;0,232351539;1,805819049
Turkey;TUR;2017;89,08162151;0,243133345;0,608610483
Turkmenistan;TKM;2017;98,13742939;2,891900344;1,282100416
Uganda;UGA;2017;43,84270944;2,214571174;0,558696334
Ukraine;UKR;2017;153,5581795;13,88313115;3,318774466
United Arab Emirates;ARE;2017;65,70075169;0,813769897;6,109299306
United Kingdom;GBR;2017;69,49560898;2,750807555;4,232587535
United States;USA;2017;75,60550275;3,24167928;18,749939
United States Virgin Islands;VIR;2017;44,44692968;8,473448421;2,311652635
Uruguay;URY;2017;89,16342953;2,538606165;0,779305505
Uzbekistan;UZB;2017;99,12904106;1,034207967;1,162687063
Vanuatu;VUT;2017;145,9839397;1,552471647;0,546182541
Venezuela;VEN;2017;59,09733539;0,696865718;0,77035361
Vietnam;VNM;2017;99,31713746;0,959072294;1,211881224
Wales;;2017;79,87356728;3,157246572;5,471929623
Western Europe;;2017;66,12163526;2,634522391;2,136049673
Western Sub-Saharan Africa;;2017;30,73839732;2,068645668;1,804481939
World;OWID_WRL;2017;90,11410508;2,260976763;2,084100675
Yemen;YEM;2017;103,0833773;0,412563763;1,632091392
Zambia;ZMB;2017;76,9770639;2,797370028;1,009323188
Zimbabwe;ZWE;2017;138,5222673;0,919957613;2,453069403
